id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13916435,JJ352974,2025-07-21T23:00:00.000,100XX W OHARE ST,0810,THEFT,OVER $500,CTA TRAIN,False,False,1651,016,41,76,06,1100658,1934241,2025,2025-07-31T15:42:52.000,41.976290414,-87.905227221,"{'latitude': '41.976290414', 'longitude': '-87.905227221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34,16197,75,668,29,38,12,24,41
13909012,JJ343937,2025-07-21T23:00:00.000,007XX W 73RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0732,007,6,68,14,1172440,1856463,2025,2025-07-29T15:42:06.000,41.761574149,-87.643552534,"{'latitude': '41.761574149', 'longitude': '-87.643552534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,511,32,11,17,214,4
13909400,JJ344476,2025-07-21T23:00:00.000,059XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2531,025,29,25,08B,1136260,1910020,2025,2025-07-29T15:42:06.000,41.909262555,-87.774881667,"{'latitude': '41.909262555', 'longitude': '-87.774881667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22615,26,597,7,2,6,154,29
13910627,JJ345860,2025-07-21T23:00:00.000,001XX E 83RD ST,0810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),False,False,0631,006,6,44,06,1178760,1850007,2025,2025-07-29T15:42:06.000,41.743716746,-87.62058529,"{'latitude': '41.743716746', 'longitude': '-87.62058529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,40,406,32,61,20,235,4
13908630,JJ343600,2025-07-21T23:00:00.000,040XX W 26TH ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,1031,010,22,30,08A,1149892,1886418,2025,2025-07-29T15:42:06.000,41.844241543,-87.725417387,"{'latitude': '41.844241543', 'longitude': '-87.725417387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,21569,32,194,28,57,21,167,22
13909016,JJ344129,2025-07-21T23:00:00.000,041XX W WILCOX ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1115,011,28,26,14,1148909,1899016,2025,2025-07-29T15:42:06.000,41.878831025,-87.728699264,"{'latitude': '41.878831025', 'longitude': '-87.728699264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,27,675,23,30,16,100,28
13909221,JJ344574,2025-07-21T23:00:00.000,003XX S MAPLEWOOD AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1125,011,27,28,06,1159433,1898396,2025,2025-07-29T15:42:06.000,41.876919736,-87.69007408,"{'latitude': '41.876919736', 'longitude': '-87.69007408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,29,785,46,28,16,138,27
13908603,JJ343599,2025-07-21T22:58:00.000,070XX S MORGAN ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,False,False,0733,007,16,68,08B,1170858,1858230,2025,2025-07-29T15:42:06.000,41.766457683,-87.649299205,"{'latitude': '41.766457683', 'longitude': '-87.649299205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,410,32,11,17,215,16
13908562,JJ343586,2025-07-21T22:56:00.000,016XX E 87TH ST,0850,THEFT,ATTEMPT THEFT,DRUG STORE,False,False,0412,004,8,45,06,1188659,1847618,2025,2025-07-29T15:42:06.000,41.736930377,-87.584391221,"{'latitude': '41.736930377', 'longitude': '-87.584391221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,44,473,35,25,19,240,10
13909325,JJ344655,2025-07-21T22:55:00.000,064XX N ARTESIAN AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,RESIDENCE - YARD (FRONT / BACK),False,False,2412,024,50,2,17,1158816,1942663,2025,2025-07-29T15:42:06.000,41.998403965,-87.691121915,"{'latitude': '41.998403965', 'longitude': '-87.691121915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,41,27,12,11,46,50
